time_x,CODE,light,temp,prcp,hum,sza,distance(cm),altitude(m),direction(degree),windowsize(%),blueness,gaussian_blue,building_shade
2021-06-12 11:20,.18_220,5313.793103,23,0,63.9,21.04265231,28,108,123,100,0.536458333,0.536458333,0
2021-06-12 11:25,.18_220,5400,23,0,63.9,20.27436354,28,108,123,100,0.612304688,0.612304688,0
2021-06-12 11:30,.18_220,5400,23,0,63.9,19.53416348,28,108,123,100,0.580078125,0.580078125,0
2021-06-12 11:35,.18_220,5400,23,0,63.9,18.82546542,28,108,123,100,0.560546875,0.560546875,0
2021-06-12 11:40,.18_220,5400,23,0,63.9,18.15205447,28,108,123,100,0.541015625,0.541015625,0
2021-06-12 11:45,.18_220,5400,23,0,63.9,17.51809031,28,108,123,100,0.592773438,0.592773438,0
2021-06-12 11:50,.18_220,5496.666667,23,0,63.9,16.92808953,28,108,123,100,0.688476563,0.688476563,0
2021-06-12 11:55,.18_220,5860,23,0,63.9,16.38687927,28,108,123,100,0.688476563,0.688476563,0
2021-06-12 12:00,.18_220,6090,23.7,0,60.4,15.89951366,28,108,123,100,0.58203125,0.58203125,0
2021-06-12 12:05,.18_220,6473.333333,23.7,0,60.4,15.4711456,28,108,123,100,0.536458333,0.536458333,0
2021-06-12 12:10,.18_220,8283.333333,23.7,0,60.4,15.10685009,28,108,123,100,0.612304688,0.612304688,0
2021-06-12 12:15,.18_220,16420,23.7,0,60.4,14.81140234,28,108,123,100,0.580078125,0.580078125,0
2021-06-12 12:20,.18_220,23586.66667,23.7,0,60.4,14.58902334,28,108,123,100,0.560546875,0.560546875,0
2021-06-12 12:25,.18_220,25200,23.7,0,60.4,14.44311664,28,108,123,100,0.541015625,0.541015625,0
2021-06-12 12:30,.18_220,25463.33333,23.7,0,60.4,14.37602907,28,108,123,100,0.592773438,0.592773438,0
2021-06-12 12:35,.18_220,26140,23.7,0,60.4,14.38887149,28,108,123,100,0.688476563,0.688476563,0
2021-06-12 12:40,.18_220,28326.66667,23.7,0,60.4,14.48142966,28,108,123,100,0.688476563,0.688476563,0
2021-06-12 12:45,.18_220,30766.66667,23.7,0,60.4,14.65218168,28,108,123,100,0.58203125,0.58203125,0
2021-06-12 12:50,.18_220,31600,23.7,0,60.4,14.89841854,28,108,123,100,0.536458333,0.536458333,0
2021-06-12 12:55,.18_220,31600,23.7,0,60.4,15.21644652,28,108,123,100,0.612304688,0.612304688,0
2021-06-12 13:00,.18_220,31886.66667,24.5,0,59.2,15.60183797,28,108,123,100,0.580078125,0.580078125,0
2021-06-12 13:05,.18_220,35626.66667,24.5,0,59.2,16.04969495,28,108,123,100,0.560546875,0.560546875,0
2021-06-12 13:10,.18_220,36500,24.5,0,59.2,16.55489531,28,108,123,100,0.541015625,0.541015625,0
2021-06-12 13:15,.18_220,36680,24.5,0,59.2,17.11230094,28,108,123,100,0.592773438,0.592773438,0
2021-06-12 13:20,.18_220,37686.66667,24.5,0,59.2,17.71691881,28,108,123,100,0.669921875,0.669921875,0
2021-06-12 13:25,.18_220,39500,24.5,0,59.2,18.36401427,28,108,123,100,0.7265625,0.7265625,0
2021-06-12 13:30,.18_220,39500,24.5,0,59.2,19.04918175,28,108,123,100,0.73046875,0.73046875,0
2021-06-12 13:35,.18_220,39500,24.5,0,59.2,19.76838093,28,108,123,100,0.703125,0.703125,0
2021-06-12 13:40,.18_220,39500,24.5,0,59.2,20.51794709,28,108,123,100,0.711914063,0.711914063,0
2021-06-12 13:45,.18_220,39500,24.5,0,59.2,21.29458328,28,108,123,100,0.69140625,0.69140625,0
2021-06-12 13:50,.18_220,39500,24.5,0,59.2,22.09534101,28,108,123,100,0.739583333,0.739583333,0
2021-06-12 13:55,.18_220,39500,24.5,0,59.2,22.91759428,28,108,123,100,0.765625,0.765625,0
2021-06-12 14:00,.18_220,39500,25.1,0,55.8,23.75901052,28,108,123,100,0.6640625,0.6640625,0
2021-06-12 14:05,.18_220,43750,25.1,0,55.8,24.61752093,28,108,123,100,0.697265625,0.697265625,0
2021-06-12 14:10,.18_220,46700,25.1,0,55.8,25.49129159,28,108,123,100,0.802734375,0.802734375,0
2021-06-13 9:45,.28_220,1735.714286,23.2,0,76,38.36357618,28,108,123,100,0.485677083,0.485677083,0
2021-06-13 9:50,.28_220,1800,23.2,0,76,37.38804564,28,108,123,100,0.485677083,0.485677083,0
2021-06-13 9:55,.28_220,1853.333333,23.2,0,76,36.4157547,28,108,123,100,0.498046875,0.498046875,0
2021-06-13 10:00,.28_220,1816.666667,22.7,0,75.7,35.44711999,28,108,123,100,0.48046875,0.48046875,0
2021-06-13 10:05,.28_220,1893.333333,22.7,0,75.7,34.48259756,28,108,123,100,0.474609375,0.474609375,0
2021-06-13 10:10,.28_220,1900,22.7,0,75.7,33.5226883,28,108,123,100,0.46875,0.46875,0
2021-06-13 10:15,.28_220,2006.666667,22.7,0,75.7,32.56794396,28,108,123,100,0.462890625,0.462890625,0
2021-06-13 10:20,.28_220,2100,22.7,0,75.7,31.61897422,28,108,123,100,0.506510417,0.506510417,0
2021-06-13 10:25,.28_220,2100,22.7,0,75.7,30.67645473,28,108,123,100,0.474609375,0.474609375,0
2021-06-13 10:30,.28_220,2166.666667,22.7,0,75.7,29.74113639,28,108,123,100,0.463541667,0.463541667,0
2021-06-13 10:35,.28_220,2106.666667,22.7,0,75.7,28.81385599,28,108,123,100,0.447265625,0.447265625,0
2021-06-13 10:40,.28_220,2193.333333,22.7,0,75.7,27.8955485,28,108,123,100,0.491210938,0.491210938,0
2021-06-13 10:45,.28_220,2236.666667,22.7,0,75.7,26.98726102,28,108,123,100,0.514322917,0.514322917,0
2021-06-13 10:50,.28_220,2200,22.7,0,75.7,26.09016889,28,108,123,100,0.533203125,0.533203125,0
2021-06-13 10:55,.28_220,2240,22.7,0,75.7,25.20559391,28,108,123,100,0.495117188,0.495117188,0
2021-06-13 11:00,.28_220,2263.333333,22.9,0,74.3,24.33502499,28,108,123,100,0.485677083,0.485677083,0
2021-06-13 11:05,.28_220,2320,22.9,0,74.3,23.4801413,28,108,123,100,0.485677083,0.485677083,0
2021-06-13 11:10,.28_220,2400,22.9,0,74.3,22.64283786,28,108,123,100,0.498046875,0.498046875,0
2021-06-13 11:15,.28_220,2400,22.9,0,74.3,21.82525343,28,108,123,100,0.48046875,0.48046875,0
2021-06-13 11:20,.28_220,2443.333333,22.9,0,74.3,21.02980002,28,108,123,100,0.474609375,0.474609375,0
2021-06-13 11:25,.28_220,2640,22.9,0,74.3,20.25919307,28,108,123,100,0.46875,0.46875,0
2021-06-13 11:30,.28_220,2706.666667,22.9,0,74.3,19.51648054,28,108,123,100,0.462890625,0.462890625,0
2021-06-13 11:35,.28_220,2930,22.9,0,74.3,18.80506808,28,108,123,100,0.506510417,0.506510417,0
2021-06-13 11:40,.28_220,3133.333333,22.9,0,74.3,18.12873647,28,108,123,100,0.474609375,0.474609375,0
2021-06-13 11:45,.28_220,3233.333333,22.9,0,74.3,17.49164589,28,108,123,100,0.463541667,0.463541667,0
2021-06-13 11:50,.28_220,3703.333333,22.9,0,74.3,16.89831995,28,108,123,100,0.447265625,0.447265625,0
2021-06-13 11:55,.28_220,4316.666667,22.9,0,74.3,16.35360126,28,108,123,100,0.491210938,0.491210938,0
